color,level
#0000FF,1
#00CEFF,2
#00B380,3
#00C700,4
#A5FF00,5
#FFC200,6
#FF7B00,7
#BA0000,8
#914D21,9
#A73A6D,10
#9820F0,11
#5429A5,12
